STMID,Date/Time,Lat,Lon,000hT01,012hT01,024hT01,036hT01,048hT01,072hT01,096hT01,120hT01
AL172020,08-09-2020/06:00:00,17.9,42.6,0,5.7,21.3,13.3,38.2,100.4,213.4,259.0
AL172020,08-09-2020/12:00:00,18.3,43.0,0,18.1,16.5,12.8,61.4,134.9,261.7,265.2
AL172020,08-09-2020/18:00:00,18.6,43.7,0,11.3,23.3,49.5,96.0,174.1,297.2,292.3
AL172020,09-09-2020/00:00:00,18.9,44.5,0,16.5,30.6,74.6,119.2,211.8,311.2,315.7
AL172020,09-09-2020/06:00:00,19.2,45.2,0,18.9,49.5,99.4,134.7,225.3,222.2,242.4
AL172020,09-09-2020/12:00:00,19.6,46.0,0,23.3,66.6,111.0,137.7,235.7,201.0,213.0
AL172020,09-09-2020/18:00:00,20.0,46.8,0,34.2,76.4,114.4,132.0,202.5,171.9,204.1
AL172020,10-09-2020/00:00:00,20.4,47.6,0,33.5,85.9,108.7,156.9,193.5,141.1,260.4
AL172020,10-09-2020/06:00:00,20.8,48.3,0,53.8,93.9,108.4,139.0,129.1,131.1,295.5
AL172020,10-09-2020/12:00:00,21.3,48.9,0,37.3,55.4,96.2,116.0,98.3,174.1,408.2
AL172020,10-09-2020/18:00:00,21.8,49.6,0,28.5,45.1,88.2,99.5,86.7,154.3,432.6
AL172020,11-09-2020/00:00:00,22.3,50.3,0,16.5,49.2,86.7,99.5,86.2,172.3,503.7
AL172020,11-09-2020/06:00:00,22.8,51.1,0,24.0,76.1,92.8,95.7,86.8,194.7,513.6
AL182020,07-09-2020/06:00:00,15.2,19.8,0,21.4,25.0,16.6,21.3,62.7,80.0,34.3
AL182020,07-09-2020/12:00:00,15.6,20.7,0,11.5,8.3,6.0,18.2,69.3,84.4,26.4
AL182020,07-09-2020/18:00:00,15.9,21.8,0,5.8,18.3,23.7,13.3,78.7,109.3,148.4
AL182020,08-09-2020/00:00:00,16.1,22.9,0,13.0,23.0,17.2,18.9,90.7,120.1,201.9
AL182020,08-09-2020/06:00:00,16.3,24.2,0,13.0,28.7,24.9,45.3,100.6,163.7,271.6
AL182020,08-09-2020/12:00:00,16.4,25.7,0,5.7,8.3,26.6,74.3,134.9,242.7,333.1
AL182020,08-09-2020/18:00:00,16.6,27.1,0,23.7,26.6,53.1,77.0,168.8,283.8,411.9
AL182020,09-09-2020/00:00:00,16.8,28.6,0,13.3,32.1,63.8,98.2,187.3,292.0,426.1
AL182020,09-09-2020/06:00:00,17.1,30.0,0,18.0,37.8,53.1,82.9,148.6,246.9,323.1
AL182020,09-09-2020/12:00:00,17.3,31.2,0,25.8,26.6,26.5,34.4,83.1,151.0,193.8
AL192020,11-09-2020/18:00:00,25.4,78.6,0,8.1,39.5,39.4,49.2,54.3,63.0,195.4
AL192020,12-09-2020/00:00:00,25.6,79.4,0,31.9,52.6,42.3,54.3,60.0,85.9,215.7
AL192020,12-09-2020/06:00:00,25.6,80.2,0,37.0,20.1,18.0,30.5,54.7,114.7,227.2
AL202020,12-09-2020/18:00:00,11.4,33.3,0,42.6,81.9,123.0,159.6,175.1,174.7,238.2
AL202020,13-09-2020/00:00:00,11.6,34.2,0,18.6,58.5,122.3,134.0,126.6,136.8,201.6
AL202020,13-09-2020/06:00:00,11.9,35.1,0,29.3,72.4,120.9,115.8,112.0,146.8,186.0
AL202020,13-09-2020/12:00:00,12.2,36.2,0,41.4,90.9,97.1,94.4,64.5,102.3,129.3
AL202020,13-09-2020/18:00:00,12.6,37.4,0,55.6,86.8,76.6,70.6,68.9,124.9,138.6
AL202020,14-09-2020/00:00:00,12.9,38.7,0,63.7,71.4,54.4,44.4,64.1,115.1,124.9
AL202020,14-09-2020/06:00:00,12.9,40.4,0,79.5,67.7,62.9,37.9,69.4,112.2,129.4
AL202020,14-09-2020/12:00:00,12.9,42.1,0,16.8,13.1,23.2,37.5,49.6,83.9,125.1
AL202020,14-09-2020/18:00:00,12.9,43.4,0,21.2,25.1,40.5,36.5,24.7,40.9,121.0
AL202020,15-09-2020/00:00:00,13.0,44.5,0,5.8,18.4,31.2,12.9,32.0,56.5,94.4
AL202020,15-09-2020/06:00:00,13.4,45.5,0,16.7,13.3,11.5,29.1,50.8,81.0,141.6
AL202020,15-09-2020/12:00:00,13.8,46.6,0,16.7,11.5,17.2,28.4,46.2,109.9,148.5
AL202020,16-09-2020/00:00:00,14.7,48.0,0,8.3,34.9,45.8,57.5,62.8,49.1,69.6
AL202020,16-09-2020/06:00:00,15.4,48.6,0,11.5,30.9,45.2,30.4,13.2,5.3,82.2
AL202020,16-09-2020/12:00:00,16.1,49.3,0,18.2,29.0,33.7,30.3,18.0,18.8,94.8
AL202020,16-09-2020/18:00:00,16.8,50.2,0,30.0,24.7,26.5,32.0,32.4,62.0,155.9
AL202020,17-09-2020/00:00:00,17.4,51.1,0,11.4,17.9,12.7,5.5,17.1,62.0,130.3
AL202020,17-09-2020/12:00:00,18.9,52.8,0,22.5,17.8,11.0,12.4,42.3,116.8,57.2
AL202020,17-09-2020/18:00:00,19.7,53.7,0,8.2,18.8,12.5,12.3,60.0,118.5,116.6
AL202020,18-09-2020/00:00:00,20.4,54.4,0,24.6,18.8,13.2,30.0,102.5,143.4,142.1
AL222020,17-09-2020/18:00:00,21.8,94.4,0,8.2,28.4,71.0,81.3,84.7,129.3,199.1
AL262020,04-10-2020/18:00:00,16.4,76.2,0,42.0,96.0,114.6,152.6,186.7,193.4,173.9
AL262020,05-10-2020/00:00:00,16.4,77.0,0,60.3,102.0,132.1,174.4,201.2,202.1,155.9
AL262020,05-10-2020/06:00:00,16.4,77.7,0,60.0,90.2,120.0,144.1,190.1,176.6,188.1
AL262020,05-10-2020/12:00:00,16.4,78.4,0,32.1,56.6,91.6,107.3,166.2,162.7,165.4
AL272020,19-10-2020/06:00:00,25.5,55.9,0,30.0,37.0,40.0,42.3,52.3,80.3,214.8
AL272020,19-10-2020/12:00:00,25.4,55.6,0,36.4,39.5,47.0,37.5,44.3,100.6,199.3
AL272020,19-10-2020/18:00:00,25.3,55.4,0,40.4,46.3,36.4,31.8,24.0,137.4,223.8
AL272020,20-10-2020/00:00:00,25.2,55.2,0,43.5,52.5,37.5,39.5,54.2,193.6,266.3
AL272020,20-10-2020/06:00:00,25.5,54.9,0,45.0,56.3,54.7,63.6,78.7,198.1,272.3
AL272020,20-10-2020/12:00:00,26.2,54.7,0,55.0,52.6,63.6,82.6,83.6,174.6,269.7
AL272020,21-10-2020/00:00:00,28.3,56.3,0,20.8,39.4,38.0,25.4,90.0,126.9,263.5
AL292020,06-11-2020/06:00:00,16.7,87.6,0,61.1,63.9,46.2,61.3,45.1,156.7,94.6
AL292020,06-11-2020/12:00:00,16.9,87.4,0,77.1,39.8,76.4,58.2,92.7,188.0,72.6
AL292020,06-11-2020/18:00:00,17.1,87.1,0,17.1,61.4,69.6,74.5,132.4,139.7,98.2
AL292020,07-11-2020/00:00:00,17.5,86.4,0,6.0,51.0,53.2,31.9,170.0,150.9,83.7
AL292020,07-11-2020/06:00:00,18.2,85.1,0,84.7,82.1,77.2,97.4,176.5,94.0,127.1
AL292020,07-11-2020/12:00:00,19.1,83.2,0,32.9,33.1,60.7,152.4,244.6,42.3,106.6
AL292020,07-11-2020/18:00:00,19.8,81.5,0,30.5,16.3,83.6,169.1,208.7,24.1,273.6
AL292020,08-11-2020/00:00:00,20.4,80.2,0,17.7,45.1,81.6,145.6,120.1,125.9,363.8
AL292020,08-11-2020/06:00:00,21.1,79.5,0,32.0,34.2,60.5,97.7,60.3,198.7,490.8
AL302020,10-11-2020/00:00:00,28.8,41.0,0,32.1,26.9,26.8,75.3,115.7,112.5,128.9
AL302020,10-11-2020/06:00:00,28.8,39.5,0,58.1,43.5,81.2,77.8,72.9,83.3,114.6
AL312020,13-11-2020/12:00:00,14.4,73.7,0,37.7,56.8,85.5,83.7,109.2,107.1,72.5
AL052021,30-06-2021/18:00:00,9.4,42.8,0,80.8,97.3,76.4,69.9,92.5,54.0,24.0
AL052021,01-07-2021/00:00:00,9.3,45.3,0,50.5,37.3,11.7,5.8,54.2,48.0,96.0
AL052021,01-07-2021/06:00:00,9.4,47.7,0,42.8,50.4,50.2,75.2,57.1,18.9,52.8
AL052021,01-07-2021/12:00:00,9.9,50.2,0,18.9,24.7,37.8,50.9,48.0,43.5,61.0
AL052021,01-07-2021/18:00:00,10.7,52.6,0,16.8,18.0,50.0,59.7,34.5,36.7,68.2
AL052021,02-07-2021/00:00:00,11.5,55.0,0,13.3,21.2,37.5,63.2,66.9,62.2,96.1
AL052021,02-07-2021/12:00:00,13.0,59.8,0,13.1,33.9,47.3,48.3,49.3,84.7,141.6
AL052021,02-07-2021/18:00:00,13.8,62.4,0,29.3,47.4,43.8,39.8,52.9,60.2,106.2
AL052021,03-07-2021/00:00:00,14.7,65.1,0,41.6,51.5,34.5,24.7,50.8,67.9,115.3
AL052021,03-07-2021/06:00:00,15.7,67.9,0,21.3,60.3,72.9,84.2,61.0,35.7,96.8
AL052021,03-07-2021/12:00:00,16.6,70.3,0,37.7,67.0,68.1,84.7,78.8,78.8,132.5
AL052021,03-07-2021/18:00:00,17.2,72.5,0,47.8,66.9,60.8,60.3,84.7,124.8,114.1
AL052021,04-07-2021/00:00:00,17.6,74.4,0,61.9,65.8,73.9,72.8,84.7,112.5,131.0
AL052021,04-07-2021/06:00:00,18.0,75.5,0,16.5,49.3,60.7,55.1,31.8,93.7,131.7
AL052021,04-07-2021/12:00:00,18.5,76.5,0,23.3,53.1,40.8,12.4,51.6,65.2,145.4
AL072021,13-08-2021/12:00:00,15.2,48.7,0,49.6,75.2,121.3,138.8,131.5,182.7,339.8
AL072021,13-08-2021/18:00:00,15.3,50.8,0,13.3,58.8,104.9,106.0,107.4,218.2,323.9
AL072021,14-08-2021/00:00:00,15.4,52.8,0,23.8,81.4,114.7,130.3,189.0,316.8,441.7
AL072021,14-08-2021/06:00:00,15.7,54.8,0,57.6,109.8,116.6,147.1,216.2,317.8,463.4
AL072021,14-08-2021/12:00:00,16.1,57.2,0,65.7,98.5,114.2,141.8,232.3,319.4,493.0
AL072021,14-08-2021/18:00:00,16.2,59.5,0,25.9,34.9,69.7,69.6,164.8,233.7,386.6
AL072021,15-08-2021/00:00:00,16.5,61.7,0,51.8,86.9,120.8,155.4,235.1,320.1,459.8
AL072021,15-08-2021/06:00:00,16.7,63.7,0,30.5,77.2,91.0,165.1,230.6,323.6,459.5
AL072021,15-08-2021/12:00:00,16.9,65.4,0,45.4,86.8,119.7,173.3,220.2,324.5,441.6
AL072021,15-08-2021/18:00:00,17.0,66.7,0,51.7,46.6,116.0,145.6,164.4,251.7,334.0
AL072021,16-08-2021/00:00:00,17.1,68.1,0,31.0,53.1,90.3,129.1,156.6,199.7,261.2
AL072021,16-08-2021/06:00:00,17.2,69.6,0,29.2,36.0,60.0,84.2,102.2,122.4,177.0
AL072021,16-08-2021/12:00:00,17.5,70.8,0,21.3,36.4,69.8,63.8,85.7,114.5,168.0
AL082021,16-08-2021/00:00:00,33.4,62.7,0,48.3,43.2,46.8,52.3,95.2,227.0,310.0
AL082021,16-08-2021/06:00:00,32.5,62.7,0,31.7,31.6,39.2,37.5,109.1,237.0,261.8
AL082021,16-08-2021/12:00:00,31.6,62.7,0,12.0,15.9,20.8,15.9,76.7,188.7,178.0
AL082021,16-08-2021/18:00:00,31.1,62.9,0,7.9,15.5,7.9,20.8,78.6,194.1,182.3
AL082021,17-08-2021/00:00:00,30.8,63.1,0,12.0,19.6,18.0,37.5,137.3,215.5,263.8
AL082021,17-08-2021/06:00:00,30.6,63.3,0,26.6,24.0,18.0,52.3,156.4,233.8,313.0
AL082021,17-08-2021/12:00:00,30.4,63.6,0,33.3,23.8,37.5,56.2,148.8,157.4,316.5
AL082021,17-08-2021/18:00:00,30.3,63.9,0,15.9,18.7,46.9,66.8,138.1,107.7,342.9
AL082021,18-08-2021/00:00:00,30.2,64.5,0,12.0,16.7,31.7,52.6,94.9,93.6,374.8
AL082021,18-08-2021/06:00:00,30.1,65.3,0,10.4,23.8,24.1,64.5,81.4,143.1,382.1
AL082021,18-08-2021/12:00:00,30.0,66.2,0,13.1,20.8,39.4,71.8,69.8,180.2,326.5
AL092021,26-08-2021/12:00:00,16.5,78.9,0,12.9,17.9,23.0,16.4,52.5,82.5,145.4
AL092021,26-08-2021/18:00:00,17.4,79.5,0,18.9,16.4,13.2,21.6,18.0,49.2,145.9
AL092021,27-08-2021/00:00:00,18.3,80.2,0,34.4,52.9,37.6,69.4,54.0,78.5,198.5
AL092021,27-08-2021/06:00:00,19.4,80.9,0,16.7,12.5,24.3,30.5,33.8,73.1,237.1
AL122021,31-08-2021/18:00:00,11.5,20.6,0,50.4,60.7,75.5,100.6,141.5,175.0,160.9
AL122021,01-09-2021/00:00:00,11.9,22.5,0,37.1,47.2,70.3,93.4,150.9,172.3,185.2
AL122021,01-09-2021/06:00:00,12.2,24.5,0,52.7,63.2,81.6,97.9,116.9,91.9,78.5
AL122021,01-09-2021/12:00:00,12.4,26.5,0,29.5,36.5,43.6,55.4,42.1,13.3,26.5
AL122021,01-09-2021/18:00:00,12.5,28.4,0,26.7,36.5,33.4,29.6,18.2,32.1,36.7
AL122021,02-09-2021/00:00:00,12.7,30.0,0,18.0,21.4,31.4,29.6,21.3,37.7,45.8
AL122021,02-09-2021/06:00:00,13.0,31.6,0,21.2,29.7,29.6,23.1,12.9,18.9,44.6
AL122021,02-09-2021/12:00:00,13.3,33.3,0,6.0,17.4,8.3,8.3,17.0,25.3,48.7
AL122021,02-09-2021/18:00:00,13.6,35.0,0,6.0,5.8,8.3,13.0,24.7,28.4,59.5
AL122021,03-09-2021/00:00:00,13.9,36.7,0,8.4,8.3,5.8,6.0,38.2,45.8,86.5
AL122021,03-09-2021/06:00:00,14.1,38.4,0,34.7,26.6,24.9,12.0,28.6,62.7,110.6
AL122021,03-09-2021/12:00:00,14.4,40.0,0,13.3,6.0,8.3,25.7,51.7,83.0,117.4
AL122021,03-09-2021/18:00:00,14.7,41.4,0,5.8,6.0,21.3,45.8,56.9,87.2,89.6
AL122021,04-09-2021/00:00:00,15.2,42.7,0,12.0,18.9,34.5,50.5,63.6,108.4,87.1
AL122021,04-09-2021/06:00:00,15.8,44.0,0,12.0,5.7,28.9,35.7,66.1,102.5,69.0
AL122021,04-09-2021/18:00:00,17.0,46.5,0,5.7,20.7,20.6,28.4,54.5,53.2,37.4
AL122021,05-09-2021/00:00:00,17.7,47.5,0,8.3,13.2,17.8,24.5,59.2,36.2,61.1
AL122021,05-09-2021/06:00:00,18.4,48.5,0,8.2,5.6,18.8,21.1,41.7,18.0,57.9
AL122021,05-09-2021/12:00:00,19.2,49.4,0,13.2,18.0,21.1,18.0,12.2,23.8,93.0
AL122021,05-09-2021/18:00:00,20.0,50.3,0,24.6,36.4,36.0,37.6,20.9,40.3,131.1
AL122021,06-09-2021/00:00:00,20.7,51.2,0,24.6,30.5,36.0,37.6,18.0,34.7,136.4
AL122021,06-09-2021/06:00:00,21.2,52.0,0,30.5,36.4,37.6,41.9,31.7,59.0,205.0
AL182021,22-09-2021/18:00:00,10.0,33.1,0,18.0,33.6,38.0,54.2,76.2,46.9,13.0
AL182021,23-09-2021/00:00:00,10.2,34.4,0,39.7,42.9,54.3,67.0,76.9,23.2,37.8
AL182021,23-09-2021/06:00:00,10.4,36.0,0,35.9,41.6,58.7,64.7,64.4,17.4,23.0
AL182021,23-09-2021/12:00:00,10.7,37.6,0,12.0,18.9,23.4,29.9,35.5,23.9,63.3
AL182021,23-09-2021/18:00:00,10.9,39.0,0,18.6,5.9,25.2,50.8,29.7,43.6,47.3
AL182021,24-09-2021/00:00:00,11.1,40.3,0,13.4,38.1,54.8,79.6,61.1,74.1,66.3
AL182021,24-09-2021/06:00:00,11.4,41.6,0,21.3,38.1,54.5,58.6,54.0,62.4,62.4
AL182021,24-09-2021/12:00:00,11.6,43.0,0,18.0,30.6,48.1,45.5,53.3,67.3,82.6
AL182021,24-09-2021/18:00:00,11.9,44.3,0,21.5,24.0,30.6,37.8,59.2,53.2,66.0
AL182021,25-09-2021/00:00:00,12.3,45.4,0,13.2,18.0,18.0,42.3,59.2,50.8,65.9
AL182021,25-09-2021/06:00:00,12.6,46.3,0,5.8,8.4,8.4,29.4,37.8,36.4,55.2
AL182021,25-09-2021/12:00:00,12.8,47.2,0,8.4,13.1,16.7,26.6,42.0,42.4,78.8
AL182021,25-09-2021/18:00:00,13.1,48.1,0,6.0,16.7,29.6,26.0,24.9,41.3,44.7
AL182021,26-09-2021/00:00:00,13.4,48.8,0,13.3,26.1,23.1,21.0,18.1,30.6,42.2
AL182021,26-09-2021/06:00:00,13.6,49.4,0,21.2,40.6,35.1,29.2,25.7,30.5,81.0
AL182021,26-09-2021/12:00:00,13.8,50.0,0,35.4,42.3,45.8,41.5,41.3,53.1,125.8
AL182021,26-09-2021/18:00:00,14.1,50.3,0,21.4,26.6,36.5,30.0,30.5,54.3,164.8
AL182021,27-09-2021/00:00:00,14.5,50.6,0,8.3,18.9,21.3,24.8,18.0,54.0,155.0
AL182021,27-09-2021/12:00:00,15.4,51.7,0,8.3,11.5,11.4,5.7,21.2,91.4,103.6
AL182021,27-09-2021/18:00:00,15.9,52.3,0,6.0,8.3,13.3,6.0,8.2,84.2,24.7
AL182021,28-09-2021/06:00:00,16.9,53.5,0,12.0,12.0,13.3,21.2,13.2,44.7,140.9
AL182021,29-09-2021/00:00:00,18.1,55.3,0,5.7,12.8,20.6,26.4,103.2,48.2,78.5
AL182021,29-09-2021/12:00:00,19.1,56.6,0,5.6,12.0,24.0,48.3,93.2,112.7,292.5
AL182021,29-09-2021/18:00:00,19.7,57.3,0,13.2,6.0,16.2,54.0,77.0,60.2,240.9
AL182021,30-09-2021/00:00:00,20.3,58.0,0,6.0,13.2,36.4,73.7,110.4,130.3,437.2
AL212021,31-10-2021/00:00:00,36.5,46.0,0,48.5,35.8,15.6,37.3,38.5,72.1,280.5
AL212021,31-10-2021/06:00:00,36.6,44.2,0,27.0,75.0,42.2,30.1,70.6,141.9,389.4
AL212021,31-10-2021/12:00:00,36.5,43.4,0,58.7,68.9,42.1,34.7,82.1,147.2,496.7
AL212021,31-10-2021/18:00:00,36.4,43.5,0,79.8,68.9,43.1,38.8,85.1,165.5,424.6
AL212021,01-11-2021/00:00:00,35.8,44.0,0,60.2,44.5,45.4,33.3,43.0,89.0,357.6
AL212021,01-11-2021/06:00:00,34.8,44.2,0,36.8,39.4,38.7,48.9,32.9,99.7,302.1
AL212021,01-11-2021/12:00:00,34.1,43.4,0,18.7,35.8,11.3,36.3,47.6,225.6,466.3
AL212021,01-11-2021/18:00:00,34.1,42.6,0,12.0,12.9,15.3,36.0,71.2,296.0,457.3
AL212021,02-11-2021/00:00:00,34.4,41.9,0,15.5,9.6,24.0,42.0,57.0,355.8,511.0
AL212021,02-11-2021/06:00:00,34.9,41.3,0,11.4,18.6,30.0,37.1,80.1,348.0,367.6
AL022022,01-07-2022/06:00:00,11.6,78.5,0,24.3,31.8,53.3,83.2,134.4,122.3,114.3
AL022022,01-07-2022/12:00:00,11.3,80.2,0,8.4,21.4,53.3,82.5,117.3,92.7,77.1
AL022022,01-07-2022/18:00:00,11.2,81.8,0,8.4,30.0,59.1,82.3,112.1,99.0,86.6
AL022022,02-07-2022/00:00:00,10.9,83.1,0,18.9,26.4,60.0,76.4,82.3,110.0,98.9
AL022022,02-07-2022/06:00:00,11.1,84.5,0,18.6,58.8,88.8,96.5,82.1,70.3,80.5
AL052022,01-09-2022/06:00:00,38.1,45.2,0,15.3,30.6,26.5,23.6,20.3,33.2,18.0
AL052022,01-09-2022/18:00:00,38.0,44.4,0,26.1,29.0,23.6,4.7,22.9,7.5,33.3
AL052022,02-09-2022/00:00:00,37.9,44.1,0,11.2,19.9,7.6,15.4,26.3,43.6,14.6
AL052022,02-09-2022/06:00:00,37.8,43.8,0,7.6,12.9,19.9,37.7,41.8,69.0,35.7
AL052022,02-09-2022/12:00:00,37.8,43.6,0,14.2,33.6,48.8,52.9,49.5,88.1,69.5
AL052022,02-09-2022/18:00:00,37.9,43.5,0,4.7,18.9,35.2,15.3,60.0,48.0,103.7
AL052022,03-09-2022/00:00:00,38.0,43.6,0,14.2,23.7,28.3,18.7,68.5,62.5,110.2
AL052022,03-09-2022/06:00:00,38.0,43.8,0,23.6,30.8,24.2,15.2,66.2,40.0,129.6
AL062022,03-09-2022/00:00:00,18.3,59.8,0,5.7,12.8,46.2,71.5,139.9,131.2,149.8
AL062022,03-09-2022/06:00:00,18.6,60.9,0,5.7,33.0,49.4,60.9,109.3,84.9,132.0
AL062022,03-09-2022/12:00:00,18.9,61.9,0,6.0,37.5,47.6,63.9,57.8,8.1,110.5
AL062022,03-09-2022/18:00:00,19.2,62.9,0,16.5,37.5,45.0,67.8,50.8,30.0,133.2
AL062022,04-09-2022/00:00:00,19.4,63.6,0,41.3,57.6,79.0,94.9,61.3,73.8,189.6
AL062022,04-09-2022/06:00:00,19.5,64.1,0,34.3,48.3,72.3,72.0,32.6,72.0,204.6
AL062022,04-09-2022/18:00:00,20.0,65.0,0,21.2,21.2,26.4,42.4,32.4,99.3,226.7
AL062022,05-09-2022/00:00:00,20.3,65.3,0,25.4,27.7,8.1,5.5,24.0,114.1,384.2
AL062022,05-09-2022/06:00:00,20.8,65.4,0,24.6,25.1,8.1,6.0,24.6,121.2,476.6
AL062022,05-09-2022/12:00:00,21.5,65.2,0,5.5,16.3,16.2,31.9,35.7,134.0,552.1
AL072022,14-09-2022/12:00:00,16.4,49.1,0,13.0,29.6,51.0,77.5,95.8,140.0,159.9
AL072022,14-09-2022/18:00:00,16.6,50.1,0,24.7,43.5,78.8,55.9,72.0,87.6,63.9
AL072022,15-09-2022/00:00:00,16.6,51.3,0,32.1,60.3,84.2,54.3,100.3,58.1,33.4
AL072022,15-09-2022/06:00:00,16.5,52.4,0,24.7,61.1,54.3,56.7,59.0,37.8,16.4
AL072022,15-09-2022/12:00:00,16.4,53.6,0,30.0,54.3,37.8,48.3,42.7,34.5,44.7
AL072022,15-09-2022/18:00:00,16.3,54.8,0,32.1,36.6,41.6,36.5,12.9,20.8,63.5
AL072022,16-09-2022/00:00:00,16.1,56.2,0,24.7,13.0,33.2,58.4,43.8,45.3,84.7
AL072022,16-09-2022/06:00:00,15.8,57.5,0,33.3,5.8,36.5,46.3,46.0,50.9,98.0
AL072022,16-09-2022/12:00:00,15.8,58.8,0,26.0,16.6,59.8,63.3,43.7,60.3,109.0
AL072022,16-09-2022/18:00:00,16.3,60.4,0,32.1,66.6,75.7,78.0,40.0,42.0,95.8
AL072022,17-09-2022/00:00:00,16.4,61.6,0,49.8,83.1,77.5,49.0,25.5,36.0,84.5
AL072022,17-09-2022/06:00:00,16.3,62.6,0,47.5,47.4,46.1,37.2,5.6,34.3,58.1
AL072022,17-09-2022/12:00:00,16.4,63.3,0,8.3,12.9,29.1,41.6,67.2,62.9,53.5
AL072022,17-09-2022/18:00:00,16.5,64.0,0,24.0,21.3,53.1,45.7,70.7,52.1,67.0
AL072022,18-09-2022/00:00:00,16.5,64.7,0,11.5,28.5,29.0,39.9,72.1,57.1,77.4
AL072022,18-09-2022/12:00:00,17.2,66.2,0,31.0,29.0,45.4,63.9,64.7,75.0,42.2
AL072022,18-09-2022/18:00:00,17.8,66.9,0,32.1,34.5,49.2,58.2,60.6,83.7,20.4
AL082022,20-09-2022/12:00:00,32.5,45.8,0,69.8,92.0,118.0,164.7,210.6,191.2,188.0
AL082022,20-09-2022/18:00:00,34.0,45.0,0,25.9,20.3,80.9,113.9,173.6,187.1,297.9
AL092022,23-09-2022/06:00:00,13.7,68.1,0,26.2,17.4,52.3,88.0,99.3,73.4,57.9
AL092022,23-09-2022/12:00:00,14.2,69.3,0,12.0,21.2,60.2,91.6,87.0,69.8,53.0
AL092022,23-09-2022/18:00:00,14.6,70.6,0,13.1,42.8,72.4,64.3,71.8,54.3,28.9
AL092022,24-09-2022/00:00:00,14.7,71.7,0,31.4,60.2,87.7,66.4,55.8,30.0,50.6
AL092022,24-09-2022/06:00:00,14.7,72.9,0,36.9,63.4,58.2,50.0,20.6,28.2,60.9
AL092022,24-09-2022/12:00:00,14.5,74.4,0,24.0,41.7,16.6,8.3,28.3,64.7,121.9
AL092022,24-09-2022/18:00:00,14.4,75.8,0,5.8,13.0,33.8,41.2,96.7,131.2,200.2
AL092022,25-09-2022/00:00:00,14.6,77.2,0,18.9,13.3,24.7,47.6,108.3,165.4,245.2
AL092022,25-09-2022/06:00:00,14.6,78.3,0,8.3,24.0,36.4,55.5,106.1,186.5,251.1
AL092022,25-09-2022/12:00:00,15.0,79.4,0,21.4,36.4,47.6,57.2,117.4,202.4,252.5
AL092022,25-09-2022/18:00:00,15.8,80.1,0,26.6,30.5,42.4,58.0,110.1,208.6,237.3
