Region,County,Demand,Shelter capacity,X,Y
Apalachee,Calhoun,569,3377,-85.2223516,30.3853734
Apalachee,Franklin,273,0,-84.8239118,29.8323143
Apalachee,Gadsden,1664,4812,-84.6389937,30.5937346
Apalachee,Gulf,699,418,-85.2175889,29.9665252
Apalachee,Jackson,1311,3861,-85.2063186,30.8013861
Apalachee,Jefferson,743,2046,-83.9326576,30.3949531
Apalachee,Leon,7157,19076,-84.2549068,30.4683062
Apalachee,Liberty,357,2490,-84.8955989,30.2506943
Apalachee,Wakulla,1783,1256,-84.3543512,30.1480038
Central Florida,DeSoto,2805,2530,-81.8244232,27.190253
Central Florida,Hardee,1644,3550,-81.8196804,27.4856349
Central Florida,Highlands,8192,7618,-81.3615717,27.3513186
Central Florida,Okeechobee,2142,2015,-80.8873655,27.3923408
Central Florida,Polk,27971,43837,-81.7268789,27.9448537
East Central Florida,Brevard,24402,50157,-80.7997185,28.2100203
East Central Florida,Lake,17645,24954,-81.78994,28.7006859
East Central Florida,Marion,988,11694,-82.0626948,29.2182454
East Central Florida,Orange,30433,31692,-81.3111658,28.495156
East Central Florida,Osceola,8137,37910,-81.1437541,28.0443842
East Central Florida,Seminole,11697,29964,-81.2353683,28.7225829
East Central Florida,Sumter,6776,2324,-82.076402,28.6689748
East Central Florida,Volusia,27826,22525,-81.1310761,29.0533409
Emerald Coast,Bay,6737,14519,-85.6593633,30.2481693
Emerald Coast,Escambia,10476,26863,-87.3451089,30.6625885
Emerald Coast,Holmes,841,3096,-85.8138207,30.8918676
Emerald Coast,Okaloosa,7289,10040,-86.6037748,30.6765961
Emerald Coast,Santa Rosa,6754,12282,-87.0097524,30.6964502
Emerald Coast,Walton,3766,9958,-86.1912678,30.6204939
Emerald Coast,Washington,1146,6201,-85.6762025,30.6009343
North Central Florida,Alachua,8704,13794,-82.3640109,29.675568
North Central Florida,Bradford,993,1141,-82.1608653,29.9715087
North Central Florida,Columbia,3713,4790,-82.62636329,30.2097438
North Central Florida,Dixie,1129,4081,-83.17351,29.6214008
North Central Florida,Gilchrist,820,2979,-82.7975172,29.7131619
North Central Florida,Hamilton,562,1741,-82.9763531,30.5232289
North Central Florida,Lafayette,405,111,-83.2221527,29.9978185
North Central Florida,Levy,3076,4866,-82.7824592,29.3008632
North Central Florida,Madison,149,3990,-83.4524524,30.4514352
North Central Florida,Suwannee,2568,4807,-82.9873377,30.2101192
North Central Florida,Taylor,1121,6654,-83.6377926,30.0926733
North Central Florida,Union,518,845,-82.3954479,30.044304
Northeast Florida,Baker,1658,3312,-82.2847163,30.3143459
Northeast Florida,Clay,9988,9939,-81.8470596,29.9766524
Northeast Florida,Duval,37241,33611,-81.6632109,30.3540073
Northeast Florida,Flagler,4563,13511,-81.2917415,29.4844412
Northeast Florida,Nassau,4537,4531,-81.7707334,30.6624329
Northeast Florida,Putnam,3903,3796,-81.7230549,29.6266155
Northeast Florida,St. Johns,10731,24401,-81.4145468,29.9032284
South Florida,Broward,22410,2068,-80.4623642,26.1598074
South Florida,Miami-Dade,126955,79632,-80.4989467,25.6364246
South Florida,Monroe,3051,511,-80.8337157,25.0405135
Southwest Florida,Charlotte,9394,0,-81.9156799,26.9013269
Southwest Florida,Collier,23412,5453,-81.3794941,26.087964
Southwest Florida,Glades,1080,2071,-81.1895983,26.9328123
Southwest Florida,Hendry,2521,4065,-81.1520667,26.597094
Southwest Florida,Lee,33291,1305,-81.8823135,26.5999265
Southwest Florida,Sarasota,23678,12636,-82.5308545,27.3365805
Tampa Bay,Citrus,9977,3561,-82.5141209,28.8512851
Tampa Bay,Hernando,9521,3875,-82.4605068,28.5710156
Tampa Bay,Hillsborough,60524,4432,-82.3488057,27.9184543
Tampa Bay,Manatee,19778,24092,-82.3801566,27.5213933
Tampa Bay,Pasco,25321,28360,-82.4522702,28.2996183
Tampa Bay,Pinellas,39760,29129,-82.7329309,27.8778904
Treasure Coast,Indian River,4483,14953,-80.5894422,27.7041555
Treasure Coast,Martin,6116,20304,-80.3994412,27.0673711
Treasure Coast,Palm Beach,41580,81600,-80.4494174,26.6279798
Treasure Coast,St. Lucie,8916,26558,-80.457904,27.3900897